Uw[m/s] 	 u[m/s] 	 N[-] 	 Hs[m] 	 Tp[m] 
10.0	7.682	0.00023188	1.639	6.975
11.4	8.758	0.00029755	1.892	7.013
12.0	9.219	0.00033548	2.005	7.038
13.0	9.987	0.00041717	2.200	7.089
14.0	10.755	0.00053077	2.402	7.151
15.0	11.523	0.00069132	2.611	7.223
16.0	12.292	0.00092222	2.827	7.304
17.0	13.060	0.00126059	3.049	7.394
18.0	13.828	0.00176644	3.277	7.491
19.0	14.596	0.00253857	3.511	7.595
20.0	15.365	0.00374305	3.751	7.705
21.0	16.133	0.00566475	3.997	7.822
22.0	16.901	0.00880278	4.249	7.944
23.0	17.669	0.01405091	4.506	8.072
24.0	18.438	0.02304572	4.768	8.204
25.0	19.206	0.03885336	5.035	8.341
