Uw[m/s] 	 u[m/s] 	 N[-] 	 Hs[m] 	 Tp[m] 
10.0	8.765	0.00029807	1.894	7.013
11.4	9.992	0.00041779	2.201	7.089
12.0	10.518	0.00049149	2.339	7.130
13.0	11.394	0.00066019	2.575	7.210
14.0	12.271	0.00091474	2.821	7.302
15.0	13.147	0.00130827	3.074	7.404
16.0	14.024	0.00193269	3.336	7.517
17.0	14.900	0.00295095	3.606	7.638
18.0	15.777	0.00465971	3.883	7.767
19.0	16.653	0.00761388	4.167	7.904
20.0	17.530	0.01288086	4.458	8.048
21.0	18.406	0.02257401	4.757	8.198
22.0	19.283	0.04100370	5.062	8.355
23.0	20.159	0.07723349	5.373	8.518
24.0	21.036	0.15092722	5.691	8.686
25.0	21.912	0.30613534	6.015	8.859
