Uw[m/s] 	 u[m/s] 	 N[-] 	 Hs[m] 	 Tp[m] 
10.0	7.352	0.00021660	1.564	6.969
11.4	8.381	0.00027136	1.801	6.996
12.0	8.822	0.00030245	1.908	7.016
13.0	9.558	0.00036830	2.090	7.059
14.0	10.293	0.00045787	2.280	7.112
15.0	11.028	0.00058142	2.475	7.175
16.0	11.763	0.00075442	2.678	7.247
17.0	12.498	0.00100072	2.886	7.328
18.0	13.234	0.00135756	3.100	7.415
19.0	13.969	0.00188415	3.319	7.509
20.0	14.704	0.00267637	3.545	7.610
21.0	15.439	0.00389233	3.775	7.717
22.0	16.174	0.00579766	4.011	7.828
23.0	16.910	0.00884753	4.252	7.946
24.0	17.645	0.01383755	4.497	8.067
25.0	18.380	0.02218707	4.748	8.194
