Uw[m/s] 	 u[m/s] 	 N[-] 	 Hs[m] 	 Tp[m] 
10.0	8.388	0.00027180	1.803	6.997
11.4	9.562	0.00036879	2.091	7.059
12.0	10.066	0.00042713	2.220	7.094
13.0	10.904	0.00055770	2.442	7.164
14.0	11.743	0.00074889	2.672	7.245
15.0	12.582	0.00103488	2.910	7.337
16.0	13.421	0.00147254	3.155	7.439
17.0	14.260	0.00215877	3.408	7.549
18.0	15.098	0.00326241	3.668	7.667
19.0	15.937	0.00508503	3.934	7.792
20.0	16.776	0.00817883	4.207	7.924
21.0	17.615	0.01358128	4.487	8.062
22.0	18.454	0.02329412	4.773	8.207
23.0	19.292	0.04128623	5.065	8.357
24.0	20.131	0.07564980	5.363	8.512
25.0	20.970	0.14336372	5.667	8.673
